placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/11358,11358,2022,84020,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11360,11360,2022,100016,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11361,11361,2022,102343,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11362,11362,2022,113688,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11363,11363,2022,112625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11364,11364,2022,100577,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11365,11365,2022,82655,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11366,11366,2022,114881,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11367,11367,2022,76888,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11368,11368,2022,69391,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11369,11369,2022,72342,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11370,11370,2022,71618,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11372,11372,2022,73089,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11373,11373,2022,67489,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11374,11374,2022,86006,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11375,11375,2022,103995,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11377,11377,2022,72273,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11378,11378,2022,90572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11379,11379,2022,89500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11385,11385,2022,85127,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11411,11411,2022,117018,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11412,11412,2022,96094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11413,11413,2022,111065,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11414,11414,2022,95370,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11415,11415,2022,88306,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11416,11416,2022,84085,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11417,11417,2022,84419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11418,11418,2022,79101,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11419,11419,2022,90818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11420,11420,2022,97919,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11421,11421,2022,81324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11422,11422,2022,101416,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11423,11423,2022,79500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11426,11426,2022,112325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11427,11427,2022,84691,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11428,11428,2022,89593,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11429,11429,2022,95721,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11432,11432,2022,72001,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11433,11433,2022,73118,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11434,11434,2022,71728,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11435,11435,2022,76915,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11436,11436,2022,87685,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11691,11691,2022,59153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11692,11692,2022,57687,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11693,11693,2022,72714,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11694,11694,2022,100190,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11697,11697,2022,134563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
